Dates,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR
5/20/2016,467.75,JUL 16,449,JUL 16,527.75,JUL 16
5/13/2016,465,MAY 16,444.75,MAY 16,523,MAY 16
5/6/2016,453.25,MAY 16,441,MAY 16,531,MAY 16
4/29/2016,478,MAY 16,465.25,MAY 16,540,MAY 16
4/22/2016,467,MAY 16,461.75,MAY 16,525.5,MAY 16
4/15/2016,459.75,MAY 16,457.75,MAY 16,523.5,MAY 16
4/8/2016,460.25,MAY 16,460,MAY 16,521,MAY 16
4/1/2016,475.75,MAY 16,477.75,MAY 16,529,MAY 16
3/25/2016,463,MAY 16,471.75,MAY 16,514,MAY 16
3/18/2016,463,MAY 16,469.5,MAY 16,509,MAY 16
3/11/2016,469.75,MAR 16,472.5,MAR 16,515.5,MAR 16
3/4/2016,454.75,MAR 16,457.75,MAR 16,502.75,MAR 16
2/26/2016,443.25,MAR 16,442.5,MAR 16,489.25,MAR 16
2/19/2016,461.75,MAR 16,457,MAR 16,493.25,MAR 16
2/12/2016,457.5,MAR 16,444.25,MAR 16,485,MAR 16
2/5/2016,466.75,MAR 16,454,MAR 16,491.25,MAR 16
1/29/2016,479.25,MAR 16,472,MAR 16,500,MAR 16
1/22/2016,475.5,MAR 16,470.75,MAR 16,497,MAR 16
1/15/2016,473.75,MAR 16,474,MAR 16,497.25,MAR 16
1/8/2016,478.5,MAR 16,472.75,MAR 16,501,MAR 16
1/1/2016,470,MAR 16,468.5,MAR 16,493.25,MAR 16
12/25/2015,467.5,MAR 16,467.5,MAR 16,495,MAR 16
12/18/2015,486.75,MAR 16,482.25,MAR 16,506.25,MAR 16
12/11/2015,482.75,DEC 15,468.25,DEC 15,498.25,DEC 15
12/4/2015,471.25,DEC 15,463.5,DEC 15,528.25,DEC 15
11/27/2015,465.75,DEC 15,450,DEC 15,510,DEC 15
11/20/2015,488.5,DEC 15,457,DEC 15,509.5,DEC 15
11/13/2015,495.75,DEC 15,465.5,DEC 15,504.25,DEC 15
11/6/2015,523.25,DEC 15,490.25,DEC 15,518.75,DEC 15
10/30/2015,522,DEC 15,493.75,DEC 15,525.5,DEC 15
